Procure		to obtain
Assuage		to relieve or soothe
Discern		to recognize the difference
Enigma		a mystery
Annotated	supplied with or containing explanatory notes and textual comments
Denotation	a word that names or signifies something specific
Principle	a fundamental, primary, or general law or truth from which others are derived
Buoyancy	the power to float or rise in a fluid, the upward pressure exerted by the fluid in which a body is immersed
Conceit		an excessively favorable opinion of one's own ability, importance or wit
Allegory	a representation of an abstract or spiritual meaning through concrete or material forms
Euphemism	the substitution of a mild, indirect, or vague expression for one thought to be offensive, harsh, or blunt
Auspicious	favorable, noteworthy
